iter	Passed	Remaining
0	49	24847
1	104	25988
2	160	26528
3	218	27115
4	280	27769
5	344	28403
6	416	29359
7	488	30049
8	564	30779
9	639	31332
10	724	32208
11	797	32428
12	866	32462
13	939	32601
14	1017	32906
15	1101	33321
16	1182	33602
17	1261	33768
18	1341	33971
19	1422	34148
20	1501	34255
21	1583	34397
22	1664	34515
23	1753	34782
24	1838	34929
25	1922	35051
26	2004	35123
27	2082	35098
28	2171	35267
29	2247	35213
30	2321	35127
31	2402	35136
32	2479	35081
33	2564	35147
34	2644	35136
35	2725	35131
36	2811	35184
37	2885	35086
38	2962	35016
39	3038	34940
40	3115	34882
41	3201	34910
42	3281	34871
43	3366	34888
44	3448	34863
45	3536	34904
46	3638	35067
47	3740	35219
48	3839	35339
49	3937	35436
50	4023	35419
51	4102	35340
52	4179	35248
53	4260	35184
54	4341	35124
55	4419	35043
56	4506	35027
57	4586	34955
58	4677	34964
59	4764	34941
60	4846	34876
61	4928	34816
62	5025	34861
63	5114	34841
64	5196	34776
65	5276	34697
66	5369	34699
67	5457	34669
68	5544	34634
69	5631	34594
70	5724	34590
71	5807	34523
72	5890	34456
73	5979	34423
74	6073	34418
75	6161	34372
76	6239	34278
77	6328	34237
78	6466	34459
79	6543	34354
80	6619	34241
81	6694	34125
82	6778	34057
83	6853	33940
84	6926	33816
85	7008	33739
86	7088	33651
87	7165	33545
88	7245	33460
89	7325	33372
90	7401	33267
91	7476	33158
92	7562	33096
93	7635	32978
94	7708	32861
95	7783	32755
96	7861	32663
97	7939	32567
98	8014	32460
99	8097	32388
100	8173	32291
101	8253	32204
102	8331	32114
103	8408	32017
104	8485	31922
105	8559	31816
106	8635	31716
107	8717	31642
108	8795	31552
109	8873	31461
110	8951	31369
111	9027	31272
112	9106	31188
113	9188	31112
114	9267	31026
115	9340	30918
116	9413	30816
117	9489	30719
118	9565	30627
119	9640	30527
120	9717	30439
121	9789	30330
122	9864	30234
123	9943	30151
124	10022	30067
125	10099	29978
126	10169	29867
127	10242	29767
128	10317	29673
129	10388	29567
130	10461	29468
131	10533	29366
132	10604	29263
133	10684	29181
134	10758	29086
135	10834	28997
136	10909	28907
137	10995	28843
138	11069	28748
139	11139	28645
140	11212	28548
141	11299	28486
142	11375	28399
143	11460	28331
144	11536	28243
