Feature,Importance
Cause_of_accident,14258
Type_of_vehicle,9956
Area_accident_occured,8132
Day_of_week,7183
Driving_experience,5655
Vehicle_movement,5065
Service_year_of_vehicle,4774
Lanes_or_Medians,4392
Age_band_of_driver,4232
Number_of_casualties,3761
Work_of_casuality,3669
Types_of_Junction,3481
Age_band_of_casualty,3125
Time_Period,2896
Number_of_vehicles_involved,2540
Type_of_collision,2477
Educational_level,2473
Road_allignment,2143
Casualty_class,1728
Weather_conditions,1379
Pedestrian_movement,1346
Light_conditions,1031
Sex_of_casualty,861
Road_surface_type,715
Vehicle_driver_relation,706
Defect_of_vehicle,511
Owner_of_vehicle,387
Casualty_severity,368
Sex_of_driver,271
Fitness_of_casuality,241
Road_surface_conditions,207
